Player,Team,Pos,Injury,Status,Est. Return
Jared Norris,FA,LB,Shoulder,Questionable,9/24/2023
Andrew Norwell,FA,OG,Hip,Questionable,9/24/2023
Joe Noteboom,LAR,OT,Shoulder,Questionable,9/25/2023
Kene Nwangwu,MIN,RB,Back,IR,10/8/2023
Aidan O'Connell,LV,QB,Coach's Decision,Inactive,9/24/2023
Carter O'Donnell,ARI,OT,Coach's Decision,Inactive,9/24/2023
Nick O'Leary,FA,TE,Chest,Questionable,9/24/2023
Leon O'Neal,FA,S,Undisclosed,Questionable,9/24/2023
Efe Obada,WAS,DE,Knee,IR,10/5/2023
Ifeadi Odenigbo,NYJ,DE,Undisclosed,IR,2/12/2024
Chris Odom,FA,DE,Knee - ACL,Questionable,9/24/2023
Otito Ogbonnia,LAC,DT,Kneecap,PUP-R,10/16/2023
Andrew Ogletree,IND,TE,Coach's Decision,Inactive,9/24/2023
Adetokunbo Ogundeji,ATL,LB,Foot,IR,2/12/2024
Moro Ojomo,PHI,DT,Coach's Decision,Inactive,9/25/2023
Azeez Ojulari,NYG,LB,Hamstring,Inactive,9/21/2023
Jeff Okudah,ATL,CB,Foot,Inactive,9/24/2023
Julian Okwara,DET,DE,Undisclosed,IR,10/8/2023
Albert Okwuegbunam,PHI,TE,Coach's Decision,Inactive,9/25/2023
Sewo Olonilua,FA,FB,Neck,Questionable,9/24/2023
Charles Omenihu,KC,DE,Suspension,Reserve-Sus,10/22/2023
Joshua Onujiogu,SEA,LB,Elbow,IR,2/12/2024
Amani Oruwariye,FA,CB,Neck,Questionable,9/24/2023
Joseph Ossai,CIN,DE,Ankle,Inactive,9/25/2023
Joe Ostman,FA,DE,Undisclosed,Questionable,9/24/2023
DeMarvion Overshown,DAL,LB,Knee - ACL,IR,2/12/2024
Tanner Owen,FA,OT,Illness,Questionable,9/24/2023
Gervarrius Owens,NYG,S,Coach's Decision,Inactive,9/21/2023
Alex Palczewski,DEN,OT,Hand,IR,10/8/2023
Andrew Parchment,FA,WR,Undisclosed,Questionable,9/24/2023
AJ Parker,FA,CB,Hamstring,Questionable,9/24/2023
Brandon Parker,FA,OT,Undisclosed,Questionable,9/24/2023
Josh Paschal,DET,DE,Knee,IR,10/15/2023
Tim Patrick,DEN,WR,Achilles,IR,2/12/2024
Cordarrelle Patterson,ATL,RB,Coach's Decision,Inactive,9/24/2023
Chris Paul,WAS,OG,Coach's Decision,Inactive,9/24/2023
John Penisini,FA,DT,Undisclosed,Questionable,9/24/2023
La'Mical Perine,KC,RB,Coach's Decision,Inactive,9/24/2023
Jordan Perryman,FA,CB,Undisclosed,Questionable,9/24/2023
Tautala Pesefea,FA,DT,Undisclosed,Questionable,9/24/2023
Nicholas Petit-Frere,TEN,OT,Suspension,Reserve-Sus,10/29/2023
Dante Pettis,FA,WR,Undisclosed,Questionable,9/24/2023
La'Michael Pettway,FA,TE,Undisclosed,Questionable,9/24/2023
Kyle Philips,TEN,WR,Knee - MCL,IR,10/8/2023
Jacob Phillips,CLE,LB,Pectoral,IR,2/12/2024
Jaelan Phillips,MIA,LB,Back,Inactive,9/24/2023
Kevin Pierre-Louis,FA,LB,Groin,Questionable,9/24/2023
Ross Pierschbacher,FA,C,Undisclosed,Questionable,2/12/2024
Jared Pinkney,FA,TE,Undisclosed,Questionable,9/24/2023
Danny Pinter,IND,C,Ankle,IR,2/12/2024
Jalen Pitre,HOU,S,Chest,Inactive,9/24/2023
Quentin Poling,FA,LB,Undisclosed,Questionable,9/24/2023
Makai Polk,FA,WR,Undisclosed,Questionable,9/24/2023
Elijah Ponder,FA,LB,Undisclosed,Questionable,9/24/2023
Troymaine Pope,FA,RB,Undisclosed,Questionable,9/24/2023
Monte Pottebaum,FA,FB,Undisclosed,Reserve-Ret,2/12/2024
Billy Price,FA,C,Undisclosed,Questionable,9/24/2023
Austin Proehl,FA,WR,Undisclosed,Questionable,9/24/2023
Justin Pugh,FA,OG,Knee - ACL,Questionable,9/24/2023
Scott Quessenberry,HOU,C,Knee - ACL + MCL,IR,2/12/2024
Trey Quinn,FA,WR,Undisclosed,Questionable,9/24/2023
Brent Qvale,FA,OT,Undisclosed,Questionable,9/24/2023
Trey Ragas,FA,RB,Undisclosed,Questionable,9/24/2023
Reggie Ragland,FA,LB,Shoulder,Questionable,9/24/2023
Charleston Rambo,FA,WR,Undisclosed,Questionable,9/24/2023
Jalen Ramsey,MIA,CB,Knee - Meniscus,IR,12/3/2023
Shane Ray,FA,DE,Hamstring,Questionable,9/24/2023
Alex Redmond,FA,OG,Undisclosed,Questionable,9/24/2023
Jalen Redmond,FA,DT,Undisclosed,Questionable,9/24/2023
Chris Reed,MIN,OG,Lower Leg,NFI-R,10/8/2023
Joe Reed,CHI,WR,Undisclosed,IR,2/12/2024
Riley Reiff,NE,OT,Knee,IR,10/8/2023
Nikko Remigio,KC,WR,Wrist,IR,2/12/2024
Sam Renner,FA,DT,Undisclosed,Questionable,9/24/2023
Sammis Reyes,JAX,TE,Concussion,Reserve-Ret,2/12/2024
Ross Reynolds,FA,OG,Undisclosed,Questionable,9/24/2023
Anthony Richardson,IND,QB,Concussion,Questionable,9/24/2023
Will Richardson,FA,OG,Suspension,Reserve-Sus,10/1/2023
Hassan Ridgeway,HOU,DT,Calf,IR,10/15/2023
Curtis Riley,FA,S,Achilles,Questionable,9/24/2023
Jordon Riley,NYG,DT,Coach's Decision,Inactive,9/21/2023
Chauncey Rivers,FA,LB,Knee - ACL,Questionable,9/24/2023
Tre Roberson,FA,CB,Concussion,Questionable,9/24/2023
Sam Roberts,NE,DT,Coach's Decision,Inactive,9/24/2023
Aaron Robinson,NYG,CB,Knee - ACL + MCL,PUP-R,10/8/2023
Cam Robinson,JAX,OT,Suspension,Reserve-Sus,10/8/2023
Rashard Robinson,FA,CB,Undisclosed,Questionable,9/24/2023
Reggie Robinson,FA,CB,Undisclosed,Questionable,9/24/2023
Wan'Dale Robinson,NYG,WR,Knee - ACL,Inactive,9/21/2023
Aaron Rodgers,NYJ,QB,Achilles,IR,2/12/2024
Bryce Rodgers,FA,DT,Undisclosed,Questionable,9/24/2023
Isaiah Rodgers,PHI,CB,Suspension,Reserve-Sus,2/12/2024
Richard Rodgers,FA,TE,Knee,Questionable,9/24/2023
Armani Rogers,WAS,TE,Achilles,IR,2/12/2024
Aldrick Rosas,FA,K,Undisclosed,Questionable,9/24/2023
Daniel Ross,FA,DT,Undisclosed,Questionable,9/24/2023
John Ross,FA,WR,Undisclosed,Reserve-Ret,2/12/2024
Bunmi Rotimi,FA,DE,Foot,Questionable,9/24/2023
Jaquelin Roy,MIN,DT,Coach's Decision,Inactive,9/24/2023
Chris Rumph,LAC,LB,Hamstring,Inactive,9/24/2023
Chapelle Russell,PIT,LB,Undisclosed,IR,2/12/2024
Christian Sam,FA,LB,Undisclosed,Questionable,9/24/2023
Myjai Sanders,ARI,DE,Hand,IR,10/8/2023
Eric Saubert,FA,TE,Undisclosed,Questionable,9/24/2023
DJ Scaife,HOU,OT,Leg,IR,2/12/2024
Sam Schlueter,FA,OT,Illness,Questionable,9/24/2023
Michael Schofield,FA,OG,Knee,Questionable,9/24/2023
Anthony Schwartz,CLE,WR,Hamstring,IR,2/12/2024
Boston Scott,PHI,RB,Concussion,Questionable,9/25/2023
Daniel Scott,IND,S,Knee - ACL,IR,2/12/2024
Eric Scott,DAL,CB,Coach's Decision,Inactive,9/18/2023
Josiah Scott,FA,CB,Undisclosed,Out,10/22/2023
Nick Scott,CIN,S,Concussion,Questionable,9/25/2023
Trent Scott,WAS,OT,Coach's Decision,Inactive,9/24/2023
Zavier Scott,FA,RB,Knee - Meniscus,Questionable,9/24/2023
Juice Scruggs,HOU,C,Hamstring,IR,10/8/2023
Ricky Seals-Jones,FA,TE,Foot,Questionable,9/24/2023
Trey Sermon,FA,RB,Knee,Questionable,9/24/2023
Adam Shaheen,FA,TE,Knee,Questionable,9/24/2023
Liam Shanahan,FA,C,Undisclosed,Questionable,9/24/2023
Tajae Sharpe,FA,WR,Undisclosed,Questionable,9/24/2023
Brandon Shell,BUF,OT,Undisclosed,Reserve-Ret,2/12/2024
Tyler Shelvin,FA,DT,Undisclosed,Questionable,9/24/2023
Darrius Shepherd,FA,WR,Undisclosed,Questionable,9/24/2023
A.Q. Shipley,FA,C,Neck,Questionable,9/24/2023
Justin Shorter,BUF,WR,Hamstring,IR,10/8/2023
Nesta Jade Silvera,LV,DT,Coach's Decision,Inactive,9/24/2023
Lachavious Simmons,FA,OG,Undisclosed,Questionable,9/24/2023
JL Skinner,DEN,S,Coach's Decision,Inactive,9/24/2023
Tuzar Skipper,FA,LB,Undisclosed,Questionable,9/24/2023
Peter Skoronski,TEN,OG,Appendix,Inactive,9/24/2023
Ryan Smenda,FA,LB,Undisclosed,Questionable,9/24/2023
Chris Smith,LV,S,Coach's Decision,Inactive,9/24/2023
Elerson Smith,FA,LB,Achilles,Questionable,9/24/2023
Kaden Smith,WAS,TE,Undisclosed,IR,2/12/2024
Maurice Smith,FA,S,Undisclosed,Questionable,9/24/2023
Ryan Smith,FA,CB,Suspension,Reserve-Sus,12/17/2023
Saivion Smith,FA,S,Undisclosed,Questionable,9/24/2023
Tre'Quan Smith,NO,WR,Groin,IR,10/8/2023
Tyler Smith,DAL,OG,Hamstring,Inactive,9/24/2023
Dawuane Smoot,JAX,DE,Achilles,PUP-R,10/8/2023
Dylan Soehner,FA,TE,Undisclosed,Questionable,9/24/2023
Sidy Sow,NE,OG,Concussion,Inactive,9/24/2023
Baylon Spector,BUF,LB,Hamstring,IR,10/8/2023
Ameer Speed,NE,CB,Coach's Decision,Inactive,9/24/2023
Diontae Spencer,FA,WR,Undisclosed,Questionable,9/24/2023
Jeremy Sprinkle,FA,TE,Achilles,Questionable,9/24/2023
DeAndre Square,FA,LB,Undisclosed,Questionable,9/24/2023
Amon-Ra St. Brown,DET,WR,Undisclosed,Questionable,9/24/2023
Equanimeous St. Brown,CHI,WR,Coach's Decision,Inactive,9/24/2023
Jayson Stanley,FA,CB,Knee,Questionable,9/24/2023
Ronnie Stanley,BAL,OT,Knee,Inactive,9/24/2023
Tyler Steen,PHI,OG,Coach's Decision,Inactive,9/25/2023
John Stephens,DAL,TE,Knee - ACL,IR,2/12/2024
Caden Sterns,DEN,S,Knee,IR,2/12/2024
Marquez Stevenson,FA,WR,Undisclosed,Questionable,9/24/2023
Tyarise Stevenson,FA,DT,Shoulder - AC Joint,Questionable,9/24/2023
Darius Stills,FA,DT,Undisclosed,Questionable,9/24/2023
Eric Stokes,GB,CB,Foot,PUP-R,10/9/2023
Eli Stove,FA,WR,Knee - ACL,Questionable,9/24/2023
Chris Streveler,FA,QB,Thumb,Questionable,9/24/2023
Nate Sudfeld,DET,QB,Knee - ACL,IR,2/12/2024
Stephen Sullivan,CAR,TE,Undisclosed,IR,10/8/2023
Nick Sundberg,FA,C,Elbow,Questionable,9/24/2023
Jonathan Sutherland,FA,S,Calf,Questionable,9/24/2023
Keaton Sutherland,FA,OG,Abdomen,Questionable,9/24/2023
Jordan Swann,FA,CB,Undisclosed,Questionable,9/24/2023
Tommy Sweeney,NYG,TE,Undisclosed,NFI-R,10/8/2023
Donte Sylencieux,FA,WR,Undisclosed,Questionable,9/24/2023
Jonah Tavai,FA,DT,Undisclosed,Questionable,9/24/2023
Calvin Taylor,FA,DE,Undisclosed,Questionable,9/24/2023
Demetrius Taylor,FA,DT,Suspension,Reserve-Sus,2/12/2024
Jason Taylor,LAR,S,Groin,IR,10/15/2023
Jonathan Taylor,IND,RB,Ankle,PUP-R,10/8/2023
Leonard Taylor,JAX,TE,Suspension,Reserve-Sus,2/12/2024
Vincent Taylor,FA,DT,Achilles,Questionable,9/24/2023
Marvell Tell,CIN,CB,Undisclosed,IR,2/12/2024
Luke Tenuta,GB,OT,Ankle,IR,10/9/2023
Sam Tevi,FA,OT,Knee - ACL,Questionable,9/24/2023
Andrew Thomas,NYG,OT,Hamstring,Inactive,9/21/2023
Isaiah Thomas,FA,DE,Knee,Doubtful,9/24/2023
Logan Thomas,WAS,TE,Concussion,Out,9/24/2023
Mike Thomas,FA,WR,Shoulder - Labrum,Questionable,9/24/2023
Starling Thomas,ARI,CB,Coach's Decision,Inactive,9/24/2023
Stantley Thomas-Oliver,FA,CB,Hamstring,Out,10/15/2023
DeAndre Thompkins,FA,WR,Undisclosed,Questionable,9/24/2023
BJ Thompson,KC,DE,Coach's Decision,Inactive,9/24/2023
Chris Thompson,FA,WR,Undisclosed,Questionable,9/24/2023
Josh Thompson,FA,S,Undisclosed,Questionable,9/24/2023
Skylar Thompson,MIA,QB,Coach's Decision,Inactive,9/24/2023
Juan Thornhill,CLE,S,Calf,Questionable,9/18/2023
Tyquan Thornton,NE,WR,Shoulder,IR,10/8/2023
Levine Toilolo,FA,TE,Achilles,Questionable,9/24/2023
Shaka Toney,WAS,DE,Suspension,Reserve-Sus,2/12/2024
Rashad Torrence,FA,S,Knee,Questionable,9/24/2023
Andrew Trainer,LAC,OT,Undisclosed,IR,2/12/2024
Cory Trice,PIT,CB,Undisclosed,IR,2/12/2024
Jacob Tuioti-Mariner,FA,LB,Knee,Questionable,9/24/2023
Laremy Tunsil,HOU,OT,Knee,Inactive,9/24/2023
DJ Turner,FA,WR,Undisclosed,Questionable,9/24/2023
Malik Turner,FA,WR,Undisclosed,Questionable,9/24/2023
Payton Turner,NO,DE,Toe,IR,10/15/2023
Trai Turner,NO,OG,Quadriceps,IR,2/12/2024
Delarrin Turner-Yell,DEN,S,Undisclosed,Questionable,9/24/2023
Michael Tutsie,FA,S,Undisclosed,Questionable,9/24/2023
Oli Udoh,MIN,OT,Quadriceps,Out,2/12/2024
John Ursua,FA,WR,Knee - ACL,Questionable,9/24/2023
Eyioma Uwazurike,DEN,DT,Suspension,Reserve-Sus,2/12/2024
AJ Uzodinma,LAC,CB,Undisclosed,IR,2/12/2024
Halapoulivaati Vaitai,DET,OG,Knee,Questionable,9/24/2023
Lukas Van Ness,GB,LB,Elbow,Questionable,9/24/2023
Zeke Vandenburgh,MIA,LB,Undisclosed,IR,2/12/2024
Ke'Shawn Vaughn,TB,RB,Coach's Decision,Inactive,9/24/2023
Olivier Vernon,FA,DE,Achilles,Questionable,9/24/2023
Jason Verrett,FA,CB,Achilles,Questionable,9/24/2023
Jalen Virgil,DEN,WR,Knee - Meniscus,IR,2/12/2024
Andrew Vorhees,BAL,OG,Knee - ACL,NFI-R,10/8/2023
Jaylen Waddle,MIA,WR,Concussion,Questionable,9/24/2023
Dalton Wagner,LV,OT,Undisclosed,IR,2/12/2024
Matt Waletzko,DAL,OT,Undisclosed,IR,10/8/2023
Michael Walker,FA,WR,Undisclosed,Questionable,9/24/2023
Austin Walter,LV,RB,Undisclosed,IR,2/12/2024
Brandon Walton,TB,OT,Coach's Decision,Inactive,9/24/2023
Jimmie Ward,HOU,S,Hip,Inactive,9/24/2023
Jonathan Ward,FA,RB,Knee,Questionable,9/24/2023
Carter Warren,NYJ,OT,Undisclosed,IR,10/8/2023
Keith Washington,FA,CB,Wrist,Questionable,9/24/2023
Parker Washington,JAX,WR,Coach's Decision,Inactive,9/24/2023
Carlos Watkins,ARI,DT,Arm,Questionable,9/24/2023
Quez Watkins,PHI,WR,Hamstring,Questionable,9/25/2023
Christian Watson,GB,WR,Hamstring,Inactive,9/24/2023
Armani Watts,FA,S,Ankle,Questionable,9/24/2023
Markees Watts,TB,LB,Coach's Decision,Inactive,9/24/2023
Sterling Weatherford,FA,LB,Undisclosed,Questionable,9/24/2023
Stephen Weatherly,FA,DE,Knee,Questionable,9/24/2023
Marcus Webb,FA,DE,Undisclosed,Questionable,9/24/2023
Ken Webster,FA,CB,Undisclosed,Questionable,9/24/2023
Josh Wells,FA,OT,Hip,Questionable,9/24/2023
Barry Wesley,FA,OT,Undisclosed,Out,10/8/2023
Isaiah Weston,FA,WR,Undisclosed,Reserve-Ret,2/12/2024
Andrew Whitaker,SEA,CB,Knee,IR,2/12/2024
Cody White,FA,WR,Undisclosed,Questionable,9/24/2023
DeAndrew White,FA,WR,Undisclosed,Questionable,9/24/2023
Drew White,WAS,LB,Knee,PUP-R,10/5/2023
Javin White,FA,LB,Knee - ACL,Questionable,9/24/2023
Kedrick Whitehead,FA,S,Undisclosed,Questionable,9/24/2023
Mazzi Wilkins,FA,CB,Suspension,Reserve-Sus,10/1/2023
Avery Williams,ATL,RB,Knee - ACL,IR,2/12/2024
Chad Williams,FA,WR,Undisclosed,Questionable,9/24/2023
Damarion Williams,BAL,CB,Ankle,IR,10/8/2023
Duke Williams,FA,WR,Hamstring,Questionable,9/24/2023
Garrett Williams,ARI,CB,Knee - ACL,NFI-A,10/8/2023
Jameson Williams,DET,WR,Suspension,Reserve-Sus,10/22/2023
Jarren Williams,FA,CB,Lower Body,Questionable,9/24/2023
Jonathan Williams,FA,RB,Undisclosed,Questionable,9/24/2023
K'Waun Williams,DEN,CB,Ankle,IR,10/8/2023
Marcus Williams,BAL,S,Pectoral,Inactive,9/24/2023
Quincy Williams,NYJ,LB,Knee,Questionable,9/24/2023
Tyrell Williams,FA,WR,Concussion,Questionable,9/24/2023
Chris Williamson,FA,CB,Undisclosed,Questionable,9/24/2023
Marcus Willoughby,FA,DE,Undisclosed,Questionable,9/24/2023
Cedrick Wilson,MIA,WR,Coach's Decision,Inactive,9/24/2023
Donovan Wilson,DAL,S,Calf,Inactive,9/24/2023
Garrett Wilson,NYJ,WR,Undisclosed,Questionable,9/24/2023
Isaiah Wilson,FA,OT,Suspension,Reserve-Sus,10/1/2023
Jeff Wilson,MIA,RB,Abdomen,IR,10/8/2023
Tavon Wilson,FA,S,Foot,Questionable,9/24/2023
Perrion Winfrey,FA,DT,Suspension,Reserve-Sus,9/24/2023
Anthony Witherstone,FA,CB,Toe,Questionable,9/24/2023
Jake Witt,IND,OT,Hip,IR,2/12/2024
Samuel Womack,SF,CB,Knee,IR,10/29/2023
Jelani Woods,IND,TE,Hamstring,IR,10/8/2023
Josh Woods,ARI,LB,Ankle,Inactive,9/24/2023
Michael Woods,CLE,WR,Achilles,NFI-R,2/12/2024
Logan Woodside,ATL,QB,Coach's Decision,Inactive,9/24/2023
Riq Woolen,SEA,CB,Chest,Questionable,9/24/2023
Renell Wren,PIT,DT,Undisclosed,IR,2/12/2024
Milton Wright,FA,WR,Undisclosed,Questionable,9/24/2023
Nahshon Wright,DAL,CB,Undisclosed,IR,10/8/2023
Kenny Yeboah,NYJ,TE,Hamstring,IR,10/8/2023
Dareke Young,SEA,WR,Groin,IR,10/15/2023
Tavon Young,FA,CB,Undisclosed,Questionable,9/24/2023
Nick Zakelj,SF,OG,Coach's Decision,Inactive,9/21/2023
Kilian Zierer,HOU,OT,Ankle,IR,2/12/2024
Justin Zimmer,FA,DT,Undisclosed,Questionable,9/24/2023
Isaiah Zuber,FA,WR,Undisclosed,Questionable,9/24/2023
Greg Zuerlein,NYJ,K,Groin,Inactive,9/24/2023
Jabari Zuniga,NO,DE,Undisclosed,Reserve-Ret,2/12/2024
Shane Zylstra,DET,TE,Knee,IR,2/12/2024