Player,Position,Team,Opponent,Salary,% ownership,Notes
Trey McBride,TE,ARI,ATL,"$3,500",30.70%,
T.J. Hockenson,TE,MIN,NO,"$5,000",27.50%,
Joe Mixon,RB,CIN,HOU,"$6,200",27.00%,
Marquise Brown,WR,ARI,ATL,"$5,200",21.50%,
Evan Engram,TE,JAX,SF,"$4,500",20.80%,
Tony Pollard,RB,DAL,NYG,"$7,300",20.50%,
Rachaad White,RB,TB,TEN,"$5,800",19.90%,
Ja'Marr Chase,WR,CIN,HOU,"$8,600",19.40%,
Amon-Ra St. Brown,WR,DET,LAC,"$8,300",19.30%,
Joe Burrow,QB,CIN,HOU,"$6,800",18.40%,
Diontae Johnson,WR,PIT,GB,"$5,400",18.30%,
Cowboys,DST,DAL,NYG,"$4,400",18.00%,
Bijan Robinson,RB,ATL,ARI,"$6,000",17.80%,
DeAndre Hopkins,WR,TEN,TB,"$6,000",17.40%,
CeeDee Lamb,WR,DAL,NYG,"$8,500",15.70%,
Keenan Allen,WR,LAC,DET,"$8,800",14.90%,
Tank Dell,WR,HOU,CIN,"$5,500",14.60%,
Travis Etienne Jr.,RB,JAX,SF,"$7,100",14.60%,
Terry McLaurin,WR,WAS,SEA,"$5,800",13.60%,
Christian McCaffrey,RB,SF,JAX,"$9,200",13.60%,
Alexander Mattison,RB,MIN,NO,"$5,500",12.90%,
Najee Harris,RB,PIT,GB,"$4,900",12.80%,
Calvin Ridley,WR,JAX,SF,"$5,600",12.00%,
Sam LaPorta,TE,DET,LAC,"$5,700",11.30%,
Rondale Moore,WR,ARI,ATL,"$3,000",11.10%,
Austin Ekeler,RB,LAC,DET,"$8,400",10.90%,
Tyler Lockett,WR,SEA,WAS,"$6,100",10.80%,
Geno Smith,QB,SEA,WAS,"$5,800",10.60%,
Jake Ferguson,TE,DAL,NYG,"$4,600",10.60%,
Dak Prescott,QB,DAL,NYG,"$6,700",10.40%,
Chris Olave,WR,NO,MIN,"$6,400",10.00%,
Cardinals,DST,ARI,ATL,"$2,500",9.80%,
Brandon Aiyuk,WR,SF,JAX,"$7,100",9.70%,
Christian Kirk,WR,JAX,SF,"$6,000",9.60%,
Dalton Schultz,TE,HOU,CIN,"$4,900",9.50%,
Aaron Jones,RB,GB,PIT,"$6,500",9.50%,
Jaxon Smith-Njigba,WR,SEA,WAS,"$4,100",9.50%,
Tyler Boyd,WR,CIN,HOU,"$4,600",9.00%,
Michael Wilson,WR,ARI,ATL,"$3,500",8.80%,
Jordan Addison,WR,MIN,NO,"$5,900",8.70%,
Baker Mayfield,QB,TB,TEN,"$5,100",8.50%,
Brock Purdy,QB,SF,JAX,"$5,700",8.20%,
Buccaneers,DST,TB,TEN,"$3,500",8.00%,
Seahawks,DST,SEA,WAS,"$4,100",7.90%,
Devin Singletary,RB,HOU,CIN,"$4,700",7.80%,
Ravens,DST,BAL,CLE,"$4,000",7.30%,
James Conner,RB,ARI,ATL,"$5,900",7.20%,
Kenneth Walker III,RB,SEA,WAS,"$6,800",7.00%,
Jared Goff,QB,DET,LAC,"$6,400",7.00%,
Bengals,DST,CIN,HOU,"$2,800",6.90%,
Chig Okonkwo,TE,TEN,TB,"$3,000",6.70%,
Michael Thomas,WR,NO,MIN,"$4,500",6.50%,
George Pickens,WR,PIT,GB,"$5,100",6.50%,
Jaylen Warren,RB,PIT,GB,"$5,000",6.40%,
Trenton Irwin,WR,CIN,HOU,"$3,000",5.90%,
Noah Brown,WR,HOU,CIN,"$3,700",5.90%,
Browns,DST,CLE,BAL,"$3,000",5.90%,
Drake London,WR,ATL,ARI,"$5,500",5.40%,
Derrick Henry,RB,TEN,TB,"$7,400",5.30%,
Sam Howell,QB,WAS,SEA,"$5,900",5.20%,
Trevor Lawrence,QB,JAX,SF,"$6,000",5.10%,
Kyler Murray,QB,ARI,ATL,"$5,900",4.90%,
Giants,DST,NYG,DAL,"$2,100",4.90%,
Mike Evans,WR,TB,TEN,"$7,200",4.90%,
Jaguars,DST,JAX,SF,"$2,400",4.80%,
Taylor Heinicke,QB,ATL,ARI,"$5,100",4.70%,
Lions,DST,DET,LAC,"$3,100",4.50%,
Joshua Dobbs,QB,MIN,NO,"$5,500",4.40%,
DK Metcalf,WR,SEA,WAS,"$6,800",4.40%,
Alvin Kamara,RB,NO,MIN,"$8,300",4.30%,
Deebo Samuel,WR,SF,JAX,"$6,200",4.30%,
Cade Otton,TE,TB,TEN,"$3,400",4.20%,
Logan Thomas,TE,WAS,SEA,"$3,800",4.10%,
Jahan Dotson,WR,WAS,SEA,"$5,000",4.10%,
Steelers,DST,PIT,GB,"$3,800",3.90%,
Jahmyr Gibbs,RB,DET,LAC,"$7,000",3.80%,
Jonnu Smith,TE,ATL,ARI,"$3,600",3.60%,
Elijah Moore,WR,CLE,BAL,"$3,600",3.60%,
Quentin Johnston,WR,LAC,DET,"$4,100",3.40%,
Chris Godwin,WR,TB,TEN,"$6,700",3.40%,
Brandon Powell,WR,MIN,NO,"$3,200",3.40%,
Curtis Samuel,WR,WAS,SEA,"$3,900",3.30%,
Kenny Pickett,QB,PIT,GB,"$4,900",3.20%,
Connor Heyward,TE,PIT,GB,"$2,900",3.00%,
Jerome Ford,RB,CLE,BAL,"$5,300",3.00%,
Titans,DST,TEN,TB,"$3,300",2.60%,
Nico Collins,WR,HOU,CIN,"$6,600",2.60%,
Saints,DST,NO,MIN,"$3,900",2.60%,
David Njoku,TE,CLE,BAL,"$4,000",2.60%,
Tyjae Spears,RB,TEN,TB,"$4,500",2.60%,
Vikings,DST,MIN,NO,"$3,200",2.40%,
Chargers,DST,LAC,DET,"$2,600",2.30%,
Derek Carr,QB,NO,MIN,"$5,800",2.20%,
Saquon Barkley,RB,NYG,DAL,"$7,700",2.20%,
Commanders,DST,WAS,SEA,"$2,900",2.20%,
Wan'Dale Robinson,WR,NYG,DAL,"$3,700",2.10%,
Zach Charbonnet,RB,SEA,WAS,"$4,200",2.10%,
Jalen Guyton,WR,LAC,DET,"$3,000",2.10%,
49ers,DST,SF,JAX,"$3,600",2.00%,
C.J. Stroud,QB,HOU,CIN,"$6,900",1.80%,
Packers,DST,GB,PIT,"$3,400",1.80%,
Brian Robinson Jr.,RB,WAS,SEA,"$5,400",1.80%,
Justin Herbert,QB,LAC,DET,"$7,700",1.70%,
Texans,DST,HOU,CIN,"$2,700",1.60%,
Kyle Pitts,TE,ATL,ARI,"$4,100",1.50%,
Amari Cooper,WR,CLE,BAL,"$6,300",1.50%,
Will Levis,QB,TEN,TB,"$5,300",1.40%,
Tyler Allgeier,RB,ATL,ARI,"$4,700",1.40%,
Christian Watson,WR,GB,PIT,"$4,900",1.40%,
Zay Flowers,WR,BAL,CLE,"$5,700",1.30%,
George Kittle,TE,SF,JAX,"$6,100",1.30%,
Juwan Johnson,TE,NO,MIN,"$3,100",1.20%,
Trishton Jackson,WR,MIN,NO,"$3,000",1.20%,
Mark Andrews,TE,BAL,CLE,"$6,900",1.10%,
Irv Smith Jr.,TE,CIN,HOU,"$2,700",1.00%,
Falcons,DST,ATL,ARI,"$3,700",1.00%,
Trey Palmer,WR,TB,TEN,"$3,200",1.00%,
Antonio Gibson,RB,WAS,SEA,"$4,600",1.00%,
Lamar Jackson,QB,BAL,CLE,"$8,000",0.90%,
Jordan Love,QB,GB,PIT,"$5,600",0.90%,
Darius Slayton,WR,NYG,DAL,"$3,200",0.80%,
Brandin Cooks,WR,DAL,NYG,"$4,200",0.80%,
Luke Musgrave,TE,GB,PIT,"$3,700",0.80%,
Van Jefferson,WR,ATL,ARI,"$3,300",0.70%,
Odell Beckham Jr.,WR,BAL,CLE,"$3,800",0.50%,
Rashid Shaheed,WR,NO,MIN,"$4,300",0.50%,
Michael Gallup,WR,DAL,NYG,"$3,500",0.50%,
Daniel Bellinger,TE,NYG,DAL,"$3,000",0.50%,
David Montgomery,RB,DET,LAC,"$6,900",0.50%,
Gerald Everett,TE,LAC,DET,"$3,900",0.50%,
AJ Dillon,RB,GB,PIT,"$4,600",0.40%,
Rico Dowdle,RB,DAL,NYG,"$4,300",0.40%,
Romeo Doubs,WR,GB,PIT,"$5,300",0.40%,
Jayden Reed,WR,GB,PIT,"$3,800",0.40%,
Kyle Philips,WR,TEN,TB,"$3,000",0.40%,
Deshaun Watson,QB,CLE,BAL,"$5,400",0.30%,
Tommy DeVito,QB,NYG,DAL,"$4,700",0.30%,
Gus Edwards,RB,BAL,CLE,"$6,100",0.30%,
Taysom Hill,TE,NO,MIN,"$5,100",0.30%,
Jalin Hyatt,WR,NYG,DAL,"$3,000",0.30%,
Rashod Bateman,WR,BAL,CLE,"$3,200",0.30%,
Donald Parham Jr.,TE,LAC,DET,"$3,200",0.30%,
Justice Hill,RB,BAL,CLE,"$4,500",0.20%,
Kareem Hunt,RB,CLE,BAL,"$5,100",0.20%,
Jameson Williams,WR,DET,LAC,"$3,400",0.20%,
Nick Westbrook-Ikhine,WR,TEN,TB,"$3,400",0.20%,